Fecha,Predicciones
7/13/2014,3.12
7/14/2014,729.39
7/15/2014,1100.56
7/16/2014,1241.09
7/17/2014,1265.47
7/18/2014,1291.55
7/19/2014,372.55
7/20/2014,3.12
7/21/2014,729.39
7/22/2014,1100.56
7/23/2014,1241.09
7/24/2014,1265.47
7/25/2014,1291.55
7/26/2014,372.55
7/27/2014,3.12
7/28/2014,729.39
7/29/2014,1100.56
7/30/2014,1241.09
7/31/2014,1265.47
8/1/2014,1381.66
8/2/2014,398.54
8/3/2014,3.33
8/4/2014,780.27
8/5/2014,1177.34
8/6/2014,1327.68
8/7/2014,1353.76
8/8/2014,1381.66
8/9/2014,398.54
8/10/2014,3.33
8/11/2014,780.27
8/12/2014,1177.34
8/13/2014,1327.68
8/14/2014,1353.76
8/15/2014,1381.66
8/16/2014,398.54
8/17/2014,3.33
8/18/2014,780.27
8/19/2014,1177.34
8/20/2014,1327.68
8/21/2014,1353.76
8/22/2014,1381.66
8/23/2014,398.54
8/24/2014,3.33
8/25/2014,780.27
8/26/2014,1177.34
8/27/2014,1327.68
8/28/2014,1353.76
8/29/2014,1381.66
8/30/2014,398.54
8/31/2014,3.33
9/1/2014,784.10
9/2/2014,1183.11
9/3/2014,1334.19
9/4/2014,1360.40
9/5/2014,1388.44
9/6/2014,400.50
9/7/2014,3.35
9/8/2014,784.10
9/9/2014,1183.11
9/10/2014,1334.19
9/11/2014,1360.40
9/12/2014,1388.44
9/13/2014,400.50
9/14/2014,3.35
9/15/2014,784.10
9/16/2014,1183.11
9/17/2014,1334.19
9/18/2014,1360.40
9/19/2014,1388.44
9/20/2014,400.50
9/21/2014,3.35
9/22/2014,784.10
9/23/2014,1183.11
9/24/2014,1334.19
9/25/2014,1360.40
9/26/2014,1388.44
9/27/2014,400.50
9/28/2014,3.35
9/29/2014,784.10
9/30/2014,1183.11
10/1/2014,1278.82
10/2/2014,1303.94
10/3/2014,1330.82
10/4/2014,383.88
10/5/2014,3.21
10/6/2014,751.56
10/7/2014,1134.02
10/8/2014,1278.82
10/9/2014,1303.94
10/10/2014,1330.82
10/11/2014,383.88
10/12/2014,3.21
10/13/2014,751.56
10/14/2014,1134.02
10/15/2014,1278.82
10/16/2014,1303.94
10/17/2014,1330.82
10/18/2014,383.88
10/19/2014,3.21
10/20/2014,751.56
10/21/2014,1134.02
10/22/2014,1278.82
10/23/2014,1303.94
10/24/2014,1330.82
10/25/2014,383.88
10/26/2014,3.21
10/27/2014,751.56
10/28/2014,1134.02
10/29/2014,1278.82
10/30/2014,1303.94
10/31/2014,1330.82
11/1/2014,379.73
11/2/2014,3.18
11/3/2014,743.45
11/4/2014,1121.78
11/5/2014,1265.02
11/6/2014,1289.87
11/7/2014,1316.46
11/8/2014,379.73
11/9/2014,3.18
11/10/2014,743.45
11/11/2014,1121.78
11/12/2014,1265.02
11/13/2014,1289.87
11/14/2014,1316.46
11/15/2014,379.73
11/16/2014,3.18
11/17/2014,743.45
11/18/2014,1121.78
11/19/2014,1265.02
11/20/2014,1289.87
11/21/2014,1316.46
11/22/2014,379.73
11/23/2014,3.18
11/24/2014,743.45
11/25/2014,1121.78
11/26/2014,1265.02
11/27/2014,1289.87
11/28/2014,1316.46
11/29/2014,379.73
11/30/2014,3.18
12/1/2014,972.43
12/2/2014,1467.28
12/3/2014,1654.64
12/4/2014,1687.14
12/5/2014,1721.92
12/6/2014,496.69
12/7/2014,4.15
12/8/2014,972.43
12/9/2014,1467.28
12/10/2014,1654.64
12/11/2014,1687.14
12/12/2014,1721.92
12/13/2014,496.69
12/14/2014,4.15
12/15/2014,972.43
12/16/2014,1467.28
12/17/2014,1654.64
12/18/2014,1687.14
12/19/2014,1721.92
12/20/2014,496.69
12/21/2014,4.15
12/22/2014,972.43
12/23/2014,1467.28
12/24/2014,1654.64
12/25/2014,1687.14
12/26/2014,1721.92
12/27/2014,496.69
12/28/2014,4.15
12/29/2014,972.43
12/30/2014,1467.28
12/31/2014,1654.64
1/1/2015,980.95
1/2/2015,1001.17
1/3/2015,288.79
1/4/2015,2.42
1/5/2015,565.40
1/6/2015,853.12
1/7/2015,962.05
1/8/2015,980.95
1/9/2015,1001.17
1/10/2015,288.79
1/11/2015,2.42
1/12/2015,565.40
1/13/2015,853.12
1/14/2015,962.05
1/15/2015,980.95
1/16/2015,1001.17
1/17/2015,288.79
1/18/2015,2.42
1/19/2015,565.40
1/20/2015,853.12
1/21/2015,962.05
1/22/2015,980.95
1/23/2015,1001.17
1/24/2015,288.79
1/25/2015,2.42
1/26/2015,565.40
1/27/2015,853.12
1/28/2015,962.05
1/29/2015,980.95
1/30/2015,1001.17
1/31/2015,288.79
2/1/2015,2.95
2/2/2015,691.64
2/3/2015,1043.60
2/4/2015,1176.86
2/5/2015,1199.97
2/6/2015,1224.71
2/7/2015,353.27
2/8/2015,2.95
2/9/2015,691.64
2/10/2015,1043.60
2/11/2015,1176.86
2/12/2015,1199.97
2/13/2015,1224.71
2/14/2015,353.27
2/15/2015,2.95
2/16/2015,691.64
2/17/2015,1043.60
2/18/2015,1176.86
2/19/2015,1199.97
2/20/2015,1224.71
2/21/2015,353.27
2/22/2015,2.95
2/23/2015,691.64
2/24/2015,1043.60
2/25/2015,1176.86
2/26/2015,1199.97
2/27/2015,1224.71
2/28/2015,353.27
3/1/2015,2.82
3/2/2015,660.30
3/3/2015,996.32
3/4/2015,1123.54
3/5/2015,1145.61
3/6/2015,1169.22
3/7/2015,337.26
3/8/2015,2.82
3/9/2015,660.30
3/10/2015,996.32
3/11/2015,1123.54
3/12/2015,1145.61
3/13/2015,1169.22
3/14/2015,337.26
3/15/2015,2.82
3/16/2015,660.30
3/17/2015,996.32
3/18/2015,1123.54
3/19/2015,1145.61
3/20/2015,1169.22
3/21/2015,337.26
3/22/2015,2.82
3/23/2015,660.30
3/24/2015,996.32
3/25/2015,1123.54
3/26/2015,1145.61
3/27/2015,1169.22
3/28/2015,337.26
3/29/2015,2.82
3/30/2015,660.30
3/31/2015,996.32
4/1/2015,1149.72
4/2/2015,1172.30
4/3/2015,1196.46
4/4/2015,345.12
4/5/2015,2.89
4/6/2015,675.69
4/7/2015,1019.53
4/8/2015,1149.72
4/9/2015,1172.30
4/10/2015,1196.46
4/11/2015,345.12
4/12/2015,2.89
4/13/2015,675.69
4/14/2015,1019.53
4/15/2015,1149.72
4/16/2015,1172.30
4/17/2015,1196.46
4/18/2015,345.12
4/19/2015,2.89
4/20/2015,675.69
4/21/2015,1019.53
4/22/2015,1149.72
